1000 10000
258 932 1023
985 111 3663
651 347 5878
892 424 3310
381 633 258
159 281 7514
178 779 8564
801 729 1180
600 271 577
276 432 3703
988 689 7635
362 674 4097
377 324 3444
254 567 3219
564 300 4203
173 458 9483
39 987 5262
602 787 990
781 386 2260
709 14 7044
412 353 3732
398 715 9405
494 91 5080
289 696 3999
859 611 7298
62 784 3755
544 822 7741
157 423 3879
499 556 4616
110 264 6981
153 27 1334
885 424 1400
641 270 842
73 910 5537
71 769 5148
720 182 6283
826 77 104
918 234 7878
796 732 4433
763 841 3049
744 994 1075
429 230 8851
828 870 4120
669 942 9381
557 364 1501
56 83 4682
338 260 4759
793 177 3344
671 972 5075
455 87 1267
503 830 2612
930 258 2841
780 437 4063
899 457 1356
631 365 8720
132 421 6154
813 758 7414
923 903 6590
266 573 3914
692 379 4000
959 234 181
570 163 7438
763 942 6226
825 192 4682
180 822 1046
251 953 6818
405 118 1928
170 40 2830
111 658 3754
24 349 9132
375 659 8365
555 581 2527
344 343 6820
569 167 9011
602 698 1185
1000 949 2137
817 705 5606
744 226 3646
925 336 8655
678 712 9355
810 86 7014
174 641 594
53 984 9288
872 905 806
235 506 6503
419 857 7803
907 674 4507
513 769 6732
510 694 7420
164 723 4131
518 532 7216
531 58 3208
476 110 3192
763 333 2448
920 567 9305
423 985 1162
225 892 1187
84 756 1307
167 265 8000
586 428 7723
68 297 9606
284 828 2015
491 655 7476
34 770 2809
833 689 9727
138 463 6712
299 40 4955
837 475 3710
143 641 9326
495 579 7753
569 646 1049
174 281 6228
189 124 235
664 157 6004
824 990 7044
551 127 3507
614 777 5898
920 965 2372
981 107 2364
306 601 6942
410 169 2940
458 695 1220
38 235 1343
272 250 2852
627 426 8193
670 976 6671
528 941 5799
777 212 6763
148 192 869
864 849 8822
157 258 1990
448 715 9036
668 104 9270
362 375 2872
565 353 6297
757 375 5624
779 254 7564
577 31 9775
339 530 2318
208 393 8166
29 902 1423
370 349 9489
758 368 8593
27 82 5319
250 646 2024
546 755 9398
169 533 3651
732 462 681
858 800 5563
527 359 7955
692 739 3856
466 461 2557
955 218 8924
899 596 7005
569 846 9651
592 391 7757
341 560 1641
992 643 7102
24 853 902
586 379 260
893 71 351
100 536 6811
656 842 5028
580 92 623
936 13 6468
586 604 5211
694 297 9770
335 640 6764
436 663 9616
337 601 6995
949 493 7065
651 944 3952
461 600 7146
840 531 5237
814 466 6249
634 404 2205
844 449 2501
965 783 3492
728 219 3154
344 907 6106
338 207 3950
754 857 6894
57 669 3845
202 508 3727
791 674 7192
39 307 2947
595 150 2396
447 114 3530
938 193 748
444 536 4007
549 225 7213
499 978 7070
392 387 3090
314 730 6623
857 121 3929
804 715 7430
551 514 6895
80 451 9087
180 894 9975
186 443 199
750 293 9529
171 36 1915
261 623 854
210 936 1584
832 792 6704
112 947 4770
893 849 8283
787 929 734
225 460 7979
199 997 9773
750 746 65
278 917 8452
544 177 6074
397 738 3009
332 569 9153
387 32 7451
157 924 300
791 62 7580
876 286 39
855 837 8035
979 586 8780
396 863 2048
847 758 8224
921 154 313
281 838 2233
785 224 4264
236 732 187
535 523 9600
466 398 8886
856 604 7074
890 935 1659
21 330 4873
421 528 8630
996 448 135
309 81 972
541 865 548
805 452 7279
343 338 2153
943 803 9551
180 658 6506
253 899 6440
263 272 2121
487 692 5649
116 687 9448
602 995 6528
926 536 8745
