100 5000
32 19 5496
93 85 914
86 90 7242
53 72 3959
51 17 7011
21 42 5182
91 11 6872
51 82 9848
15 61 987
100 5 2948
92 89 7567
87 81 1503
52 66 3893
94 71 7116
4 73 6784
14 93 9925
95 35 8136
18 37 4669
65 51 5129
4 3 5486
3 46 9174
21 33 1554
24 84 5872
68 29 994
35 84 9766
18 97 4610
95 43 1744
82 12 3933
50 29 6735
31 32 337
16 86 9283
41 7 9067
46 30 602
69 97 1131
62 31 7314
27 100 6163
36 94 2857
32 75 621
64 25 2949
98 7 3532
87 74 5317
21 14 8575
87 59 2104
88 80 8852
70 41 5934
36 68 134
50 55 7727
6 86 9554
78 49 3930
26 99 2336
9 85 6609
78 5 5922
52 43 4532
8 82 4663
59 4 4604
45 39 6823
78 88 9577
56 45 963
9 75 1263
38 100 861
25 61 2797
33 38 1
6 89 595
90 96 2477
52 7 9480
7 51 5270
29 80 6009
6 35 905
20 96 579
34 85 4331
47 10 5691
43 94 2680
96 100 1168
90 41 2316
66 92 8622
97 99 8724
18 79 6403
26 36 5737
83 7 8984
61 41 7369
91 39 5930
33 81 4923
12 76 2974
32 66 4614
47 83 858
20 32 6308
43 49 7786
45 27 1222
33 9 280
17 21 3520
37 12 858
18 96 5091
40 8 9866
66 39 8483
79 37 7066
36 56 4149
95 98 8649
81 42 6575
54 74 1535
33 90 7756
5 78 5919
14 95 1714
4 87 4173
22 52 4463
4 30 4899
21 18 454
69 12 9851
18 44 9492
44 49 7818
79 82 7459
86 38 2137
56 51 4131
21 7 4717
94 28 3220
8 31 7902
7 52 9619
60 72 7382
63 89 8978
6 33 5626
23 63 3959
82 48 7496
70 55 9799
100 75 5957
69 68 9484
40 76 1566
41 34 9269
11 45 6741
93 7 8981
22 65 6213
47 87 9027
58 20 8826
5 89 7880
3 41 4255
59 61 8474
94 100 5001
60 41 8734
80 51 2831
20 95 789
1 16 8453
65 15 3640
44 72 6511
69 76 6500
49 31 440
55 41 9400
28 87 2951
81 98 6291
66 77 8094
96 49 9388
85 1 1856
37 17 4770
28 60 4793
39 29 9420
90 29 4802
29 35 6895
80 62 5181
30 94 3930
73 60 9706
66 55 8306
53 39 6006
8 28 1723
29 55 834
73 45 9462
93 34 4542
94 14 3976
40 45 2590
20 75 5383
49 47 7442
7 64 1597
64 16 4987
70 76 9714
44 56 2121
77 29 8717
91 21 9651
84 66 4416
12 58 6061
1 77 3887
35 78 4185
77 36 5048
25 99 2215
63 20 1190
29 63 5798
1 92 8126
17 34 298
19 17 7115
35 28 5472
47 80 6901
33 15 5330
17 91 465
16 67 6963
30 29 3535
72 9 9197
69 9 3840
46 26 573
95 96 6642
9 82 9669
33 28 4949
33 12 4215
62 80 8557
26 95 5923
40 25 4003
26 48 8864
23 68 6272
14 13 7649
87 59 2645
80 67 8378
48 99 8206
48 83 8717
14 44 4097
70 21 9391
92 13 3167
47 38 2966
10 12 8233
33 78 9797
34 16 7955
30 95 6174
7 94 3572
12 42 6107
81 55 6402
77 77 1275
19 20 7687
38 66 1876
55 27 3040
88 12 5017
84 45 4732
91 74 8826
64 80 3319
87 92 9512
93 24 1619
47 52 8195
21 22 7866
59 59 1932
34 14 8310
25 53 6921
93 88 1765
24 78 8190
1 93 1870
72 80 3713
35 24 2436
5 70 8487
99 90 3960
17 48 5671
100 34 2936
9 10 3988
82 3 4975
98 78 205
88 31 5849
9 2 9128
21 36 5204
8 41 7773
46 91 815
5 7 2014
75 6 9599
10 67 6609
97 100 763
24 97 440
80 36 7170
28 44 623
8 16 311
11 23 7851
35 68 493
1 25 9752
15 99 3909
65 61 7627
73 9 7826
35 84 8975
27 63 2910
96 43 4206
71 2 221
81 12 6096
83 98 315
75 51 6839
78 17 1338
87 81 3098
65 6 2458
91 92 8042
65 18 6404
26 66 6098
31 36 9899
52 16 9362
99 98 8612
13 24 8462
52 2 7278
41 40 4658
90 4 3563
47 46 4755
88 10 5024
44 88 5189
41 18 2224
40 21 2791
53 19 8388
64 32 8564
25 35 365
2 75 6756
12 64 9011
26 62 4957
80 50 9918
56 93 6805
44 85 6175
20 76 8247
10 29 2766
50 92 2749
13 69 5035
29 22 4609
84 85 3624
94 11 8185
2 42 2686
72 97 3530
76 41 6815
2 60 8790
49 21 5170
66 70 8214
14 34 6382
100 62 9655
8 97 6340
83 43 6350
19 44 791
57 67 1040
86 43 9580
100 96 7691
42 44 8163
11 9 9385
24 74 9918
57 73 2832
12 32 8528
51 66 8722
52 85 2018
94 41 4684
